id;created_on;updated_on;node_locations
1;users;Cheese;Usability reboot
2;Reactive action-items;United Arab Emirates mesh maximized;neutral Ergonomic Wooden Tuna
3;integrated e-commerce Savings Account;e-services;local
4;Practical;bypass Dynamic;program synthesize Home Loan Account
5;Canadian Dollar Checking Account;Cambridgeshire Kids;Intranet backing up Gorgeous Wooden Cheese
6;Accountability THX;upward-trending Gorgeous Rubber Sausages;cross-platform
7;implementation;Security Cambridgeshire;Home Loan Account
8;COM Ergonomic upward-trending;EXE;Specialist Riel
9;Toys;invoice synthesize;bandwidth Concrete
10;Concrete Games;Generic Architect Assimilated;International Tuna
