id;name;emotion;chat_node_type;variable_name;api_method;api_url;api_response_data_root;next_node_id;required_variables;group_name;card_header;card_footer;is_start_node;is_goal_node;target_bot_id;target_node_id
1;Rustic Plastic Shoes Libyan Dinar International;Tunnel;compressing Avon;Cross-group Malta West Virginia;GET;strategic;Rustic Heard Island and McDonald Islands Bedfordshire;transmitter Rue;Kansas digital;Personal Loan Account PCI Comoro Franc;virtual RAM;Ergonomic Harbor Money Market Account;true;true;1080p;Shoes Dobra policy
2;front-end Pennsylvania;customer loyalty Virtual;Future solid state invoice;Persevering;POST;Branding;synthesizing;iterate;Senior;Marketing generate;transmit Internal Estates;architecture Bedfordshire invoice;true;false;Virtual target silver;backing up
3;Azerbaijan Bike Causeway;Operative;bricks-and-clicks;Principal Lead Buckinghamshire;GET;Manors Regional;Assimilated Place;Computers Global;Administrator Program;Borders;Park withdrawal engage;compress parse transmit;true;true;indexing;Lead Liberia Paradigm
4;back up harness;Gorgeous Wooden Hat;conglomeration Cotton indigo;Money Market Account Synergized;GET;transmit;Pakistan Rupee bluetooth withdrawal;Small Metal Soap Avon cross-platform;Incredible Cotton Gloves Books;gold SMTP Tuna;Arizona empower Kansas;firewall;false;false;challenge redundant asynchronous;withdrawal
5;withdrawal;Utah;infrastructures Chips;SSL;GET;Rustic Plastic Tuna Credit Card Account Unbranded Granite Salad;Berkshire Union sexy;Representative;Shoes connecting;Vision-oriented Avon;invoice multimedia;Lebanese Pound;true;true;24/7 Maine Riel;monitoring violet
6;models;redefine Berkshire Electronics;SCSI;Rustic Wooden Ball Austria;CONNECT;Electronics;Sausages Home Loan Account Somoni;discrete methodology;synthesize Oklahoma;Fantastic Frozen Sausages;Danish Krone bypass system engine;Ferry overriding Intelligent Rubber Tuna;false;false;Architect interface;Right-sized Ergonomic
7;Lead;indigo Intuitive Phased;e-tailers mission-critical open system;process improvement extranet District;PUT;deliver transmit;Berkshire task-force;seamless innovative Horizontal;value-added New Mexico Refined;Berkshire program;24/7;TCP Open-architected red;false;true;HTTP;Concrete matrix
8;Diverse deposit;Berkshire;Sleek Concrete Table Awesome;Tasty Bacon Refined Steel Soap;POST;toolset;Prairie Home Loan Account;Metal Handmade communities;deposit e-business;Iceland Krona;invoice Response;Lead Credit Card Account Rustic;false;true;Track;reciprocal
9;calculating;reintermediate Bedfordshire Plastic;Borders;Steel Outdoors;CONNECT;Borders experiences navigate;encryption Optional Accounts;salmon cross-platform Mount;markets;Handcrafted Granite Shoes optical;open-source;solution-oriented;true;true;Savings Account;leading-edge Credit Card Account Bridge
10;Gloves JSON;Aruba bus;program interface;Rustic Frozen Table;POST;microchip Shoes;Serbian Dinar Auto Loan Account Accounts;Salad Rupiah;architect;panel programming;neutral Myanmar Consultant;composite Viaduct;false;true;ADP;Paradigm auxiliary streamline
