id;button_name;button_text;emotion;button_type;deep_link_url;url;items_source;allow_multiple;bounce_timeout;next_node_id;default_button;hidden;variable_value;prefix_text;postfix_text;placeholder_text;condition_match_key;condition_operator;condition_match_value;post_to_chat;does_repeat;repeat_on;repeat_as;start_position;max_repeats;advanced_options;min_length;max_length;default_text;is_multi_line;content_id;content_emotion
1;Cambridgeshire Associate Consultant;withdrawal Lead Borders;59173;Shirt compressing neural;COM Fully-configurable;http://orlando.com;Streamlined;false;5686;deposit;true;false;Automotive National;compress;haptic compressing Gourde US Dollar;Small Granite Bacon Utah Architect;Borders transmit tan;Tasty Plastic Shirt Dale indexing;invoice;false;true;EXE Shoes;haptic;49679;9444;false;85466;73665;Quality RSS Cape Verde;false;plug-and-play Hat;Bahraini Dinar
2;Borders visualize;Bulgarian Lev bluetooth overriding;48838;Home;model Berkshire;http://kory.biz;ADP Pants;false;49948;open-source bus Investment Account;true;false;red withdrawal;Mobility;Investment Account Planner;maximize;Metal Sports Refined Metal Chicken;Granite dynamic;Gorgeous channels;true;false;internet solution;Granite IB;41073;15769;false;98479;59297;AGP;false;Frozen migration encompassing;microchip
3;green;JSON Russian Federation;58686;Pizza;XML firewall Steel;https://katrina.name;Investment Account;true;85556;schemas implementation Awesome Wooden Keyboard;true;false;ivory;infomediaries;Hat Bacon;Generic Customer Jewelery;deposit Table;applications Persistent;Intelligent;false;false;mobile;infomediaries;86917;27805;false;7333;62180;Persistent;true;Danish Krone;Comoro Franc pixel
4;Realigned;National Berkshire Won;78115;purple;Enhanced;http://rey.org;silver Incredible Toys;false;43407;Generic Soft Shoes;false;false;FTP;Berkshire Incredible Rubber Chicken;explicit Algerian Dinar Analyst;Gorgeous Soft Sausages FTP;indexing turn-key;full-range;Technician;false;true;Cambridgeshire models Consultant;mobile Creative Small Plastic Salad;29681;61221;false;95866;18043;Towels Cloned;true;Kina;envisioneer Handcrafted Wooden Gloves
5;Guinea Savings Account project;Chips Road;78393;Courts;Minnesota;https://maurine.com;purple Savings Account Shoal;true;2564;backing up;false;true;panel Western Sahara Green;Cheese;Indian Rupee Sausages;Berkshire;bandwidth;maroon panel;Checking Account Outdoors secondary;false;true;Bike Key function;paradigms;14231;60329;false;81756;65514;Concrete multi-tasking Innovative;true;Pizza Passage empower;override Grenada Virginia
6;Horizontal empowering;GB teal;99187;hacking;Legacy Architect Handmade;https://andreanne.name;Home Loan Account HDD deploy;true;77607;invoice technologies hacking;true;true;Trace 24/365 Profound;integrate;engineer;Fiji;mint green Group structure;Idaho productize Lari;revolutionary Specialist Books;true;false;haptic markets bypassing;Configurable synergy;70807;41138;true;42727;94396;hacking;false;Program virtual Investment Account;project transmitting
7;cross-platform Moldovan Leu Incredible Soft Gloves;Avon;72523;leading-edge deposit;Synchronised;https://pat.org;Lane;true;32406;collaborative;false;true;Frozen;Metal impactful Avon;SQL;California Rue;Hawaii virtual;Director Programmable;Congolese Franc Streets;true;true;Home;Rustic;9862;2918;false;9759;52822;transmitting expedite;true;unleash enterprise;strategize Bedfordshire overriding
8;structure;Plastic;40447;mindshare;visualize strategic recontextualize;http://alverta.biz;time-frame Cameroon;true;63079;Pants Directives;false;false;generating Republic of Korea;Guyana Dollar France synthesize;24/7 Australia;Mountains Bulgaria complexity;Savings Account;Beauty Missouri;Unbranded Soft Mouse;true;true;AGP;Buckinghamshire;51162;16351;false;87420;33029;networks indigo;false;Automotive digital;Brook reboot Grove
9;plum Tools Tunisian Dinar;Facilitator;33685;neural;24/7 Configuration;https://hillard.org;hacking teal;false;66180;composite mindshare Beauty;true;true;high-level Rustic strategic;Norfolk Island incremental;olive;Interactions policy;Micronesia;transmit synthesizing;bi-directional Profit-focused Versatile;true;false;Kenyan Shilling;GB didactic;74353;70367;true;75921;39761;pixel;true;Industrial compress Soap;global deposit
10;discrete hard drive;Cotton bifurcated Manager;92431;Usability e-markets synergies;Central ADP Home Loan Account;https://evans.biz;neural-net North Carolina;true;10574;payment productize;false;false;Balboa US Dollar;Technician;Functionality Towels;protocol Coordinator Assistant;didactic bypassing Lane;Hryvnia overriding;Soft;false;false;Refined wireless;Gibraltar Pound virtual;53865;30555;true;45784;13175;functionalities Indian Rupee Ngultrum Chips;true;PCI Associate;e-business e-markets
